id,modelVersion,parent,groupId,artifactId,version,name,url,releaseDate,organization,dependenciesAmount,repositoriesAmount,mavenErrorMessage,
com.fasterxml.jackson.dataformat:jackson-dataformat-xml:jar:2.15.2,4.0.0,com.fasterxml.jackson:jackson-base:pom:2.15.2,com.fasterxml.jackson.dataformat,jackson-dataformat-xml,2.15.2,Jackson-dataformat-XML,https://github.com/FasterXML/jackson-dataformat-xml,55381-02-02 09:10:00 UTC,,8,1,
org.apache-extras.beanshell:bsh:jar:2.0b6,4.0.0,,org.apache-extras.beanshell,bsh,2.0b6,BeanShell,https://github.com/beanshell/beanshell/,48102-09-25 23:26:40 UTC,,1,0,
[inherited]:jakarta.xml.bind-api:jar:[inherited],4.0.0,jakarta.xml.bind:jakarta.xml.bind-api-parent:pom:3.0.1,null,jakarta.xml.bind-api,null,Jakarta XML Binding API,null,53192-12-19 20:06:40 UTC,,1,0,
com.google.j2objc:j2objc-annotations:jar:2.8,4.0.0,org.sonatype.oss:oss-parent:pom:9,com.google.j2objc,j2objc-annotations,2.8,J2ObjC Annotations,https://github.com/google/j2objc/,54998-03-24 07:00:00 UTC,,0,0,
[inherited]:jakarta.ws.rs-api:bundle:[inherited],4.0.0,jakarta.ws.rs:all:pom:3.1.0,null,jakarta.ws.rs-api,null,Jakarta RESTful WS API,https://github.com/eclipse-ee4j/jaxrs-api,54132-04-26 15:00:00 UTC,Eclipse Foundation,6,0,
com.fasterxml.jackson.core:jackson-databind:bundle:2.14.1,4.0.0,com.fasterxml.jackson:jackson-base:pom:2.14.1,com.fasterxml.jackson.core,jackson-databind,2.14.1,jackson-databind,https://github.com/FasterXML/jackson,54860-11-08 08:00:00 UTC,,8,1,
jakarta.transaction:jakarta.transaction-api:jar:2.0.0,4.0.0,org.eclipse.ee4j:project:pom:1.0.6,jakarta.transaction,jakarta.transaction-api,2.0.0,${extension.name} API,https://projects.eclipse.org/projects/ee4j.jta,52715-09-27 05:06:40 UTC,EE4J Community,2,0,
net.java.dev.jna:jna-platform:jar:5.8.0,4.0.0,,net.java.dev.jna,jna-platform,5.8.0,Java Native Access Platform,https://github.com/java-native-access/jna,53192-09-18 00:20:00 UTC,,1,0,
[inherited]:httpcore:jar:[inherited],4.0.0,org.apache.httpcomponents:httpcomponents-core:pom:4.1.2,null,httpcore,null,HttpCore,http://hc.apache.org/httpcomponents-core-ga,43491-08-15 15:50:00 UTC,,1,0,
[inherited]:curator-client:bundle:2.7.1,4.0.0,org.apache.curator:apache-curator:pom:2.7.1,null,curator-client,2.7.1,Curator Client,null,47004-08-21 16:36:40 UTC,,3,0,
com.novocode:junit-interface:jar:0.11,4.0.0,,com.novocode,junit-interface,0.11,JUnit-Interface,http://github.com/sbt/junit-interface/,46587-11-24 14:13:20 UTC,com.novocode,2,0,
